customer_id,usage_month,active_days,logins,features_used,support_tickets,engagement_score
16,2024-09-01,14,66,6,2,98.2
16,2024-10-01,6,25,7,1,61.5
16,2024-11-01,7,22,12,5,74.4
16,2024-12-01,21,102,7,1,145.4
16,2025-01-01,25,94,6,8,121.8
16,2025-02-01,9,25,11,3,81.5
16,2025-03-01,13,57,10,5,100.9
16,2025-04-01,6,31,13,4,86.7
16,2025-05-01,9,30,11,1,91.0
16,2025-06-01,30,113,7,2,168.1
16,2025-07-01,12,32,8,1,83.4
16,2025-08-01,30,139,8,4,185.3
16,2025-09-01,11,51,6,5,72.7
16,2025-10-01,30,118,8,0,182.6
16,2025-11-01,7,27,11,2,81.9
16,2025-12-01,8,38,13,1,104.6
17,2025-06-01,12,64,6,0,98.8
17,2025-07-01,8,37,3,3,47.9
17,2025-08-01,26,73,2,0,113.1
17,2025-09-01,10,38,6,7,55.6
17,2025-10-01,7,37,10,3,80.9
17,2025-11-01,25,76,7,1,135.2
17,2025-12-01,16,40,3,1,72.0
18,2024-04-01,6,17,9,4,56.9
18,2024-05-01,18,80,7,2,121.0
18,2024-06-01,14,70,8,4,105.0
18,2024-07-01,20,101,9,2,149.7
18,2024-08-01,10,45,10,1,98.5
18,2024-09-01,10,33,5,5,53.1
18,2024-10-01,2,5,7,4,30.5
18,2024-11-01,2,11,10,2,55.7
18,2024-12-01,8,30,8,5,62.0
18,2025-01-01,30,173,13,4,234.1
18,2025-02-01,10,54,6,3,78.8
18,2025-03-01,28,148,9,2,198.6
18,2025-04-01,6,17,14,6,75.9
18,2025-05-01,17,53,15,1,143.1
18,2025-06-01,26,124,7,2,167.8
18,2025-07-01,11,39,6,3,70.3
18,2025-08-01,8,40,7,4,67.0
18,2025-09-01,6,35,14,3,97.5
18,2025-10-01,22,84,9,5,132.8
18,2025-11-01,18,92,12,4,148.4
18,2025-12-01,14,42,4,3,68.4
19,2025-11-01,26,92,12,3,167.4
19,2025-12-01,6,15,9,3,58.5
20,2025-04-01,14,37,6,4,71.9
20,2025-05-01,25,88,11,3,157.6
20,2025-06-01,10,50,13,2,114.0
20,2025-07-01,30,156,8,4,197.2
20,2025-08-01,2,12,13,4,65.4
20,2025-09-01,30,214,9,4,242.8
20,2025-10-01,12,59,10,3,106.3
20,2025-11-01,15,72,9,4,113.4
20,2025-12-01,9,51,6,0,83.7
21,2024-05-01,19,73,4,2,103.1
21,2024-06-01,8,23,10,4,70.1
21,2024-07-01,30,226,9,9,236.2
21,2024-08-01,21,118,10,4,162.6
21,2024-09-01,9,24,15,2,103.8
21,2024-10-01,13,38,8,3,83.6
21,2024-11-01,12,36,13,1,111.2
21,2024-12-01,8,23,7,2,61.1
21,2025-01-01,16,41,14,5,115.7
21,2025-02-01,6,33,11,5,75.1
21,2025-03-01,3,11,10,2,57.7
21,2025-04-01,5,19,13,3,79.3
21,2025-05-01,6,16,5,7,27.2
21,2025-06-01,6,19,8,4,53.3
21,2025-07-01,12,41,12,1,109.7
21,2025-08-01,19,66,5,2,103.2
21,2025-09-01,14,53,19,4,148.1
21,2025-10-01,9,45,5,7,53.5
21,2025-11-01,30,154,10,4,205.8
21,2025-12-01,7,36,6,5,54.2
22,2024-08-01,15,81,6,3,107.7
22,2024-09-01,21,82,5,3,115.4
22,2024-10-01,10,35,8,4,72.5
22,2024-11-01,11,29,9,4,75.3
22,2024-12-01,20,79,7,5,115.3
22,2025-01-01,30,187,7,7,204.9
22,2025-02-01,13,44,5,5,66.8
22,2025-03-01,30,151,9,3,201.7
22,2025-04-01,3,12,8,3,45.4
22,2025-05-01,25,119,8,3,164.3
22,2025-06-01,24,88,8,5,134.6
22,2025-07-01,3,13,5,2,34.1
22,2025-08-01,14,50,15,6,120.0
22,2025-09-01,5,15,7,3,46.5
22,2025-10-01,17,83,8,4,120.1
22,2025-11-01,6,33,7,3,61.1
22,2025-12-01,5,25,8,2,61.5
23,2025-10-01,29,74,4,3,120.8
23,2025-11-01,9,32,14,4,98.4
23,2025-12-01,18,96,8,3,134.2
24,2025-04-01,10,47,6,4,70.9
24,2025-05-01,4,22,7,0,58.4
24,2025-06-01,3,15,5,0,41.5
24,2025-07-01,12,43,6,2,78.1
24,2025-08-01,5,13,3,3,25.1
24,2025-09-01,8,36,5,0,66.2
24,2025-10-01,6,24,7,1,60.8
24,2025-11-01,13,66,7,0,107.2
24,2025-12-01,12,47,5,0,81.9
25,2024-06-01,7,36,16,3,110.2
25,2024-07-01,8,22,11,8,62.4
25,2024-08-01,30,106,11,3,180.2
25,2024-09-01,1,4,8,6,26.8
25,2024-10-01,5,20,6,6,36.0
25,2024-11-01,29,107,14,3,193.9
25,2024-12-01,1,6,9,2,45.2
25,2025-01-01,22,66,10,2,134.2
25,2025-02-01,4,11,7,8,26.7
25,2025-03-01,9,23,6,4,52.1
25,2025-04-01,16,79,8,5,112.3
25,2025-05-01,18,94,10,7,130.8
25,2025-06-01,9,30,8,2,73.0
25,2025-07-01,19,83,9,3,132.1
25,2025-08-01,2,8,8,2,43.6
25,2025-09-01,2,7,11,4,51.9
25,2025-10-01,11,40,16,3,121.0
25,2025-11-01,5,13,7,4,42.1
25,2025-12-01,12,43,11,5,94.1
26,2025-08-01,23,79,12,2,155.3
26,2025-09-01,9,47,7,4,73.9
26,2025-10-01,18,58,17,1,158.6
26,2025-11-01,3,9,12,7,51.3
26,2025-12-01,30,112,5,5,148.4
27,2025-06-01,18,44,10,2,110.8
27,2025-07-01,13,70,8,8,91.0
27,2025-08-01,12,40,8,3,83.0
27,2025-09-01,11,39,3,4,52.3
27,2025-10-01,5,30,3,1,43.0
27,2025-11-01,13,44,8,5,81.8
27,2025-12-01,6,32,6,3,55.4
28,2024-02-01,30,188,12,3,242.6
28,2024-03-01,14,47,14,5,115.9
28,2024-04-01,26,91,11,1,167.7
28,2024-05-01,30,121,8,1,181.7
28,2024-06-01,2,5,10,3,48.5
28,2024-07-01,21,90,8,3,136.0
28,2024-08-01,24,90,11,2,160.0
28,2024-09-01,22,97,12,4,159.9
28,2024-10-01,20,65,10,3,126.5
28,2024-11-01,24,104,17,4,193.8
28,2024-12-01,7,23,17,4,103.1
28,2025-01-01,27,126,4,2,156.2
28,2025-02-01,17,73,13,3,141.1
28,2025-03-01,16,53,15,1,141.1
28,2025-04-01,12,36,12,5,94.2
28,2025-05-01,5,15,11,3,66.5
28,2025-06-01,24,62,13,5,141.4
28,2025-07-01,16,53,9,3,105.1
28,2025-08-01,4,18,6,5,35.6
28,2025-09-01,12,64,12,4,116.8
28,2025-10-01,17,50,14,3,130.0
28,2025-11-01,4,20,12,5,67.0
28,2025-12-01,11,35,6,7,55.5
29,2024-07-01,8,35,4,2,54.5
29,2024-08-01,12,65,8,3,100.5
29,2024-09-01,13,59,5,1,89.3
29,2024-10-01,3,7,2,0,20.9
29,2024-11-01,19,65,2,1,90.5
29,2024-12-01,24,104,5,2,139.8
29,2025-01-01,16,70,8,1,118.0
29,2025-02-01,30,252,8,5,261.4
29,2025-03-01,7,18,9,0,71.6
29,2025-04-01,5,19,7,1,55.3
29,2025-05-01,20,101,6,1,137.7
29,2025-06-01,20,107,8,3,145.9
29,2025-07-01,4,20,7,1,54.0
29,2025-08-01,1,7,5,1,28.9
29,2025-09-01,14,58,4,5,73.6
29,2025-10-01,21,116,7,1,155.2
29,2025-11-01,3,10,6,2,37.0
29,2025-12-01,22,96,6,1,138.2
30,2025-09-01,4,18,5,1,42.6
30,2025-10-01,30,159,6,3,192.3
30,2025-11-01,18,45,3,3,73.5
30,2025-12-01,30,202,11,4,244.4
31,2024-09-01,2,7,9,3,44.9
31,2024-10-01,20,84,5,2,117.8
31,2024-11-01,24,68,11,0,150.6
31,2024-12-01,22,68,8,3,122.6
31,2025-01-01,19,67,13,4,137.9
31,2025-02-01,2,6,6,2,32.2
31,2025-03-01,3,11,5,0,38.7
31,2025-04-01,27,98,8,1,159.6
31,2025-05-01,4,14,8,2,51.8
31,2025-06-01,15,38,5,0,81.6
31,2025-07-01,14,68,8,2,109.6
32,2024-01-01,30,116,12,3,192.2
32,2024-02-01,19,59,9,6,106.3
32,2024-03-01,14,70,13,3,133.0
32,2024-04-01,30,99,10,3,170.3
32,2024-05-01,6,16,15,7,77.2
32,2024-06-01,7,38,13,1,102.6
32,2024-07-01,30,96,6,2,151.2
32,2024-08-01,14,63,9,3,108.1
32,2024-09-01,11,42,13,1,113.4
32,2024-10-01,17,47,9,4,99.9
32,2024-11-01,30,115,8,7,159.5
32,2024-12-01,5,26,15,2,97.2
32,2025-01-01,19,98,4,6,108.6
32,2025-02-01,6,31,8,1,70.7
32,2025-03-01,15,41,9,3,94.7
32,2025-04-01,20,88,5,4,114.6
32,2025-05-01,30,435,11,4,407.5
32,2025-06-01,30,160,11,6,209.0
32,2025-07-01,7,27,8,2,66.9
32,2025-08-01,22,116,11,5,165.2
32,2025-09-01,17,52,6,3,91.4
32,2025-10-01,17,91,10,0,147.7
32,2025-11-01,6,22,9,1,69.4
32,2025-12-01,6,17,17,3,99.9
33,2025-03-01,5,23,15,2,95.1
33,2025-04-01,3,12,10,7,43.4
33,2025-05-01,30,158,5,8,171.6
33,2025-06-01,6,24,5,2,47.8
33,2025-07-01,22,88,12,0,165.6
33,2025-08-01,9,42,13,5,97.4
33,2025-09-01,29,128,11,3,193.6
33,2025-10-01,30,151,11,4,208.7
33,2025-11-01,6,30,13,5,83.0
33,2025-12-01,11,44,10,2,96.8
34,2025-10-01,22,99,9,4,146.3
34,2025-11-01,9,31,5,1,61.7
34,2025-12-01,14,70,9,4,110.0
35,2025-02-01,17,64,4,3,89.8
35,2025-03-01,13,55,9,3,100.5
35,2025-04-01,16,86,9,3,128.2
35,2025-05-01,13,54,5,2,82.8
35,2025-06-01,7,33,7,0,72.1
35,2025-07-01,3,21,5,1,42.7
35,2025-08-01,18,90,5,4,112.0
35,2025-09-01,11,32,3,4,47.4
35,2025-10-01,2,10,9,2,50.0
35,2025-11-01,21,90,6,2,129.0
35,2025-12-01,17,58,6,1,101.6
36,2025-12-01,27,90,18,6,189.0
37,2024-03-01,15,67,13,4,129.9
37,2024-04-01,10,31,9,4,74.7
37,2024-05-01,18,57,4,4,83.9
37,2024-06-01,12,54,7,2,90.8
37,2024-07-01,10,36,11,5,85.2
37,2024-08-01,24,111,18,1,212.7
37,2024-09-01,30,190,11,1,245.0
37,2024-10-01,3,10,9,2,52.0
37,2024-11-01,30,154,5,2,186.8
37,2024-12-01,19,55,7,0,111.5
37,2025-01-01,3,10,7,4,36.0
37,2025-02-01,9,40,9,2,85.0
37,2025-03-01,13,52,6,4,80.4
37,2025-04-01,3,15,10,5,51.5
37,2025-05-01,4,12,8,6,38.4
38,2025-05-01,17,71,11,2,132.7
38,2025-06-01,30,125,8,3,178.5
38,2025-07-01,7,19,6,8,33.3
38,2025-08-01,24,97,9,3,151.9
38,2025-09-01,5,27,2,2,32.9
39,2025-04-01,10,55,10,1,105.5
39,2025-05-01,15,64,2,0,84.8
39,2025-06-01,13,46,8,5,83.2
39,2025-07-01,5,17,6,2,45.9
39,2025-08-01,4,23,6,1,51.1
39,2025-09-01,16,65,10,3,118.5
39,2025-10-01,17,48,9,3,103.6
39,2025-11-01,11,39,7,3,75.3
39,2025-12-01,5,26,9,3,64.2
40,2025-12-01,15,56,11,5,109.2
41,2025-01-01,21,80,7,4,121.0
41,2025-02-01,8,37,11,8,72.9
41,2025-03-01,30,272,11,5,290.4
41,2025-04-01,18,99,12,0,165.3
41,2025-05-01,13,35,11,1,102.5
41,2025-06-01,9,48,10,9,74.6
41,2025-07-01,7,29,9,6,61.3
41,2025-08-01,19,69,14,3,147.3
41,2025-09-01,8,33,9,2,78.1
41,2025-10-01,9,50,10,4,91.0
41,2025-11-01,20,68,13,6,134.6
41,2025-12-01,4,18,6,1,47.6
42,2025-08-01,2,7,6,0,38.9
42,2025-09-01,2,8,6,0,39.6
42,2025-10-01,27,108,9,2,168.6
42,2025-11-01,25,127,9,2,177.9
42,2025-12-01,6,35,6,1,63.5
43,2024-04-01,13,57,7,1,97.9
43,2024-05-01,6,16,7,2,52.2
43,2024-06-01,24,70,11,0,152.0
43,2024-07-01,30,148,10,6,195.6
43,2024-08-01,30,296,5,5,277.2
43,2024-09-01,30,155,11,1,220.5
43,2024-10-01,5,13,9,2,58.1
43,2024-11-01,18,64,11,2,129.8
43,2024-12-01,8,30,5,4,50.0
43,2025-01-01,2,13,7,1,45.1
43,2025-02-01,25,116,9,3,167.2
43,2025-03-01,7,36,11,6,76.2
43,2025-04-01,8,45,7,3,73.5
43,2025-05-01,22,74,5,3,111.8
43,2025-06-01,0,2,11,3,47.4
43,2025-07-01,6,36,6,1,64.2
43,2025-08-01,6,31,7,5,53.7
43,2025-09-01,26,100,8,4,150.0
43,2025-10-01,21,86,8,1,139.2
43,2025-11-01,29,122,9,9,161.4
43,2025-12-01,16,55,4,2,84.5
44,2024-02-01,13,36,12,2,105.2
44,2024-03-01,19,73,9,3,125.1
44,2024-04-01,6,33,9,7,59.1
44,2024-05-01,30,109,13,6,183.3
44,2024-06-01,11,55,10,1,107.5
44,2024-07-01,10,35,4,0,64.5
44,2024-08-01,9,39,4,5,50.3
44,2024-09-01,30,174,13,7,225.8
44,2024-10-01,9,33,12,5,86.1
44,2024-11-01,4,16,11,9,47.2
44,2024-12-01,8,38,10,6,74.6
44,2025-01-01,30,155,10,5,203.5
44,2025-02-01,14,55,17,3,142.5
44,2025-03-01,12,57,8,3,94.9
44,2025-04-01,18,51,11,7,105.7
44,2025-05-01,14,48,14,0,131.6
44,2025-06-01,18,94,11,3,147.8
44,2025-07-01,18,59,11,4,120.3
44,2025-08-01,9,37,5,4,56.9
44,2025-09-01,25,98,10,5,153.6
44,2025-10-01,17,48,10,5,102.6
44,2025-11-01,19,93,7,3,129.1
44,2025-12-01,30,167,15,2,245.9
45,2025-06-01,9,40,6,2,70.0
45,2025-07-01,12,50,3,2,68.0
45,2025-08-01,14,69,4,3,87.3
45,2025-09-01,23,56,2,1,92.2
45,2025-10-01,21,111,6,3,140.7
45,2025-11-01,8,42,3,3,51.4
45,2025-12-01,12,57,3,2,72.9
46,2024-01-01,11,30,4,3,54.0
46,2024-02-01,2,9,11,2,59.3
46,2024-03-01,24,107,6,6,134.9
46,2024-04-01,16,64,14,4,134.8
46,2024-05-01,21,112,15,8,171.4
46,2024-06-01,25,69,7,9,106.3
46,2024-07-01,11,33,9,2,84.1
46,2024-08-01,19,58,10,1,125.6
46,2024-09-01,30,154,7,4,190.8
46,2024-10-01,10,52,6,3,77.4
46,2024-11-01,26,90,7,1,147.0
46,2024-12-01,12,32,2,3,47.4
46,2025-01-01,1,3,10,3,45.1
46,2025-02-01,2,7,8,1,45.9
46,2025-03-01,25,82,5,3,123.4
46,2025-04-01,13,46,8,0,98.2
46,2025-05-01,26,66,5,4,111.2
46,2025-06-01,10,39,11,4,90.3
46,2025-07-01,30,115,8,3,171.5
46,2025-08-01,10,39,7,4,70.3
46,2025-09-01,14,47,9,0,105.9
46,2025-10-01,10,51,11,8,86.7
46,2025-11-01,6,30,9,2,72.0
46,2025-12-01,8,30,6,3,58.0
47,2025-10-01,18,83,10,3,135.1
47,2025-11-01,2,11,11,1,63.7
47,2025-12-01,11,35,7,2,75.5
48,2024-01-01,7,20,9,2,67.0
48,2024-02-01,21,88,13,1,165.6
48,2024-03-01,1,5,7,5,25.5
48,2024-04-01,2,11,12,4,59.7
48,2024-05-01,5,19,8,4,51.3
48,2024-06-01,11,50,11,4,100.0
48,2024-07-01,5,16,8,3,52.2
48,2024-08-01,20,59,6,3,102.3
48,2024-09-01,9,50,8,3,84.0
48,2024-10-01,5,31,4,3,42.7
48,2024-11-01,27,99,7,3,149.3
48,2024-12-01,12,47,7,3,82.9
48,2025-01-01,4,16,6,3,40.2
48,2025-02-01,16,48,8,4,93.6
48,2025-03-01,20,58,4,1,97.6
48,2025-04-01,30,113,6,3,160.1
48,2025-05-01,3,18,8,5,43.6
48,2025-06-01,4,10,13,0,80.0
48,2025-07-01,7,27,7,2,61.9
48,2025-08-01,26,86,9,4,145.2
48,2025-09-01,12,41,5,4,65.7
48,2025-10-01,7,32,9,3,72.4
48,2025-11-01,8,33,11,2,88.1
48,2025-12-01,30,77,12,1,170.9
49,2025-05-01,9,36,8,1,80.2
49,2025-06-01,30,96,5,1,149.2
49,2025-07-01,8,42,7,1,77.4
49,2025-08-01,2,9,5,3,26.3
49,2025-09-01,2,7,4,2,22.9
49,2025-10-01,29,119,6,1,168.3
49,2025-11-01,16,44,2,2,66.8
49,2025-12-01,1,5,4,2,19.5
50,2024-11-01,12,47,11,7,90.9
50,2024-12-01,27,139,2,6,143.3
50,2025-01-01,5,28,9,3,65.6
50,2025-02-01,8,34,8,7,58.8
50,2025-03-01,28,130,8,3,178.0
50,2025-04-01,16,42,11,0,116.4
50,2025-05-01,30,108,12,3,186.6
50,2025-06-01,24,95,5,1,136.5
50,2025-07-01,14,67,11,5,114.9
50,2025-08-01,12,68,11,5,111.6
50,2025-09-01,5,13,9,1,61.1
50,2025-10-01,5,26,11,3,74.2
50,2025-11-01,0,4,6,1,29.8
50,2025-12-01,0,2,11,3,47.4
51,2025-04-01,7,23,6,3,51.1
51,2025-05-01,0,3,4,4,10.1
51,2025-06-01,8,31,7,2,66.7
51,2025-07-01,30,131,3,2,160.7
51,2025-08-01,15,75,7,1,114.5
51,2025-09-01,17,85,12,2,147.5
51,2025-10-01,7,38,6,3,61.6
51,2025-11-01,8,36,6,2,65.2
51,2025-12-01,7,40,2,2,46.0
52,2025-03-01,21,81,6,3,119.7
52,2025-04-01,25,77,11,1,155.9
52,2025-05-01,13,52,8,1,99.4
52,2025-06-01,5,14,14,2,83.8
52,2025-07-01,30,88,13,4,174.6
52,2025-08-01,2,11,5,3,27.7
52,2025-09-01,10,57,7,3,85.9
52,2025-10-01,5,22,6,3,46.4
52,2025-11-01,16,74,9,1,125.8
53,2024-11-01,14,36,4,2,67.2
53,2024-12-01,20,109,6,0,146.3
53,2025-01-01,21,50,6,3,98.0
53,2025-02-01,30,110,7,2,166.0
53,2025-03-01,28,119,8,0,179.3
53,2025-04-01,7,19,8,0,67.3
53,2025-05-01,21,105,6,1,142.5
53,2025-06-01,9,43,4,0,68.1
53,2025-07-01,12,57,9,4,96.9
53,2025-08-01,24,120,8,1,169.0
53,2025-09-01,22,61,4,2,100.7
53,2025-10-01,20,81,7,4,119.7
53,2025-11-01,1,5,4,2,19.5
53,2025-12-01,8,32,9,2,77.4
54,2024-12-01,17,72,8,3,115.4
54,2025-01-01,12,42,8,2,87.4
54,2025-02-01,22,73,8,0,135.1
54,2025-03-01,10,41,11,2,97.7
54,2025-04-01,6,31,5,3,49.7
54,2025-05-01,16,64,10,1,123.8
54,2025-06-01,13,56,6,0,95.2
54,2025-07-01,10,50,7,3,81.0
54,2025-08-01,1,7,7,2,35.9
54,2025-09-01,4,13,7,4,40.1
54,2025-10-01,29,89,8,0,160.3
54,2025-11-01,25,82,11,2,156.4
54,2025-12-01,4,13,6,4,35.1
55,2025-01-01,30,163,13,3,230.1
55,2025-02-01,24,104,11,5,160.8
55,2025-03-01,20,107,8,1,151.9
55,2025-04-01,2,5,14,5,62.5
55,2025-05-01,2,10,11,6,48.0
55,2025-06-01,6,28,7,3,57.6
55,2025-07-01,11,37,6,4,65.9
55,2025-08-01,30,188,10,3,232.6
55,2025-09-01,22,63,9,4,121.1
55,2025-10-01,5,24,10,3,67.8
55,2025-11-01,3,10,14,6,65.0
55,2025-12-01,10,52,17,3,132.4
56,2025-05-01,8,35,11,5,80.5
56,2025-06-01,4,21,10,4,60.7
56,2025-07-01,4,22,16,5,88.4
56,2025-08-01,3,13,5,4,28.1
56,2025-09-01,18,68,5,3,99.6
56,2025-10-01,9,35,9,4,75.5
56,2025-11-01,12,35,11,2,97.5
56,2025-12-01,15,76,11,7,117.2
57,2025-06-01,6,30,4,1,50.0
57,2025-07-01,24,110,6,0,155.0
57,2025-08-01,17,88,5,3,111.6
57,2025-09-01,13,50,5,0,86.0
57,2025-10-01,7,21,9,3,64.7
57,2025-11-01,26,134,10,1,192.8
57,2025-12-01,30,178,7,2,213.6
58,2024-11-01,15,77,14,3,144.9
58,2024-12-01,17,62,14,5,132.4
58,2025-01-01,12,63,10,0,118.1
58,2025-02-01,7,20,13,10,63.0
58,2025-03-01,23,114,9,2,164.8
58,2025-04-01,14,57,9,1,109.9
58,2025-05-01,11,53,8,4,87.1
58,2025-06-01,30,121,10,10,164.7
58,2025-07-01,5,24,10,8,52.8
58,2025-08-01,6,24,1,5,18.8
58,2025-09-01,22,62,8,4,115.4
58,2025-10-01,7,18,5,7,30.6
58,2025-11-01,10,34,15,2,112.8
58,2025-12-01,9,29,9,4,71.3
59,2024-09-01,25,92,6,1,141.4
59,2024-10-01,9,46,13,3,106.2
59,2024-11-01,9,43,5,1,70.1
59,2024-12-01,13,51,8,0,101.7
59,2025-01-01,10,50,4,1,72.0
59,2025-02-01,8,38,6,0,72.6
59,2025-03-01,16,62,10,2,119.4
59,2025-04-01,19,65,12,4,131.5
59,2025-05-01,18,93,4,1,118.1
59,2025-06-01,10,45,8,1,88.5
59,2025-07-01,6,23,3,2,37.1
59,2025-08-01,13,45,7,2,86.5
59,2025-09-01,24,126,3,2,145.2
59,2025-10-01,11,59,9,0,108.3
59,2025-11-01,2,10,6,0,41.0
59,2025-12-01,9,41,5,2,65.7
60,2024-02-01,5,14,11,5,59.8
60,2024-03-01,17,52,13,4,123.4
60,2024-04-01,25,115,9,3,166.5
60,2024-05-01,19,83,13,3,152.1
60,2024-06-01,15,56,12,1,126.2
