subscription_id,customer_id,plan_id,start_date,cancel_date,subscription_status,discount_pct,net_monthly_price
93,93,2,2025-07-31,,Active,0.15,212.42
94,94,3,2025-12-09,,Active,0.15,509.92
95,95,2,2025-12-28,,Active,0.2,199.92
96,96,1,2024-04-30,,Active,0.0,99.9
97,97,4,2024-10-14,,Active,0.1,1349.91
98,98,2,2024-10-23,,Active,0.0,249.9
99,99,2,2025-08-05,,Active,0.0,249.9
100,100,1,2024-09-02,,Active,0.1,89.91
101,101,1,2024-06-18,,Active,0.0,99.9
102,102,2,2025-07-05,,Active,0.15,212.42
103,103,3,2024-12-27,,Active,0.15,509.92
104,104,1,2025-06-30,,Active,0.05,94.9
105,105,2,2024-10-04,,Active,0.0,249.9
106,106,2,2024-12-21,,Active,0.15,212.42
107,107,1,2024-01-07,,Active,0.1,89.91
108,108,1,2024-01-12,,Active,0.0,99.9
109,109,2,2024-01-01,2024-10-03,Cancelled,0.0,249.9
110,110,1,2024-05-08,2024-12-26,Cancelled,0.0,99.9
111,111,2,2024-09-11,,Active,0.15,212.42
112,112,4,2024-02-06,,Active,0.15,1274.92
113,113,1,2024-04-27,,Active,0.05,94.9
114,114,1,2025-09-11,,Active,0.0,99.9
115,115,1,2025-09-16,,Active,0.05,94.9
116,116,2,2024-07-30,,Active,0.0,249.9
117,117,2,2025-11-22,,Active,0.0,249.9
118,118,3,2024-03-27,2024-07-14,Cancelled,0.2,479.92
119,119,2,2024-01-23,,Active,0.2,199.92
120,120,3,2024-09-15,,Active,0.0,599.9
121,121,1,2024-07-12,,Active,0.2,79.92
122,122,3,2024-02-26,,Active,0.0,599.9
123,123,1,2025-09-11,,Active,0.0,99.9
124,124,1,2025-12-16,,Active,0.05,94.9
125,125,1,2024-07-16,,Active,0.0,99.9
126,126,3,2024-08-18,,Active,0.1,539.91
127,127,3,2025-06-09,,Active,0.0,599.9
128,128,3,2025-11-13,,Active,0.0,599.9
129,129,3,2024-07-28,,Active,0.1,539.91
130,130,3,2025-05-14,,Active,0.0,599.9
131,131,2,2024-01-17,,Active,0.0,249.9
132,132,1,2025-02-17,,Active,0.0,99.9
133,133,2,2025-12-22,,Active,0.05,237.4
134,134,2,2024-12-13,,Active,0.05,237.4
135,135,1,2025-04-13,,Active,0.05,94.9
136,136,1,2025-05-17,,Active,0.0,99.9
137,137,1,2025-04-07,,Active,0.0,99.9
138,138,4,2025-05-16,,Active,0.0,1499.9
139,139,3,2025-10-10,,Active,0.0,599.9
140,140,3,2024-01-08,,Active,0.05,569.9
141,141,4,2025-10-08,,Active,0.15,1274.92
142,142,3,2025-10-25,,Active,0.1,539.91
143,143,1,2025-10-22,,Active,0.05,94.9
144,144,1,2024-09-25,,Active,0.05,94.9
145,145,1,2025-03-02,,Active,0.2,79.92
146,146,1,2024-09-15,,Active,0.2,79.92
147,147,2,2025-09-06,,Active,0.2,199.92
148,148,1,2024-10-24,,Active,0.0,99.9
149,149,2,2024-08-16,,Active,0.05,237.4
150,150,1,2025-05-15,,Active,0.1,89.91
151,151,4,2024-02-06,,Active,0.0,1499.9
152,152,1,2024-10-01,,Active,0.0,99.9
153,153,1,2024-05-30,,Active,0.0,99.9
154,154,2,2024-09-30,2024-12-20,Cancelled,0.0,249.9
155,155,1,2024-11-24,,Active,0.0,99.9
156,156,2,2024-02-16,2025-08-11,Cancelled,0.0,249.9
157,157,1,2025-09-24,,Active,0.0,99.9
158,158,4,2024-10-31,,Active,0.0,1499.9
159,159,1,2024-09-19,,Active,0.15,84.92
160,160,2,2024-04-19,,Active,0.0,249.9
161,161,3,2025-12-28,,Active,0.0,599.9
162,162,4,2025-09-17,,Active,0.0,1499.9
163,163,2,2024-12-18,,Active,0.0,249.9
164,164,1,2024-09-01,,Active,0.0,99.9
165,165,2,2024-12-07,,Active,0.2,199.92
166,166,1,2025-12-03,,Active,0.05,94.9
167,167,1,2024-06-10,2025-08-28,Cancelled,0.0,99.9
168,168,2,2025-05-15,,Active,0.15,212.42
169,169,1,2025-10-22,,Active,0.05,94.9
170,170,2,2025-07-06,,Active,0.0,249.9
171,171,1,2025-09-28,,Active,0.0,99.9
172,172,2,2025-11-23,,Active,0.0,249.9
173,173,1,2024-02-13,2025-08-05,Cancelled,0.05,94.9
174,174,3,2024-06-23,2025-09-20,Cancelled,0.0,599.9
175,175,3,2024-04-15,,Active,0.0,599.9
176,176,3,2025-02-18,,Active,0.05,569.9
177,177,1,2024-10-24,2025-04-25,Cancelled,0.0,99.9
178,178,1,2024-01-30,,Active,0.1,89.91
179,179,2,2025-02-11,,Active,0.15,212.42
180,180,2,2024-03-14,,Active,0.0,249.9
181,181,2,2024-10-24,,Active,0.0,249.9
182,182,2,2024-09-24,,Active,0.0,249.9
183,183,3,2025-10-15,,Active,0.0,599.9
184,184,4,2025-05-13,,Active,0.15,1274.92
185,185,2,2025-04-01,,Active,0.0,249.9
186,186,4,2025-08-30,,Active,0.0,1499.9
187,187,2,2024-05-11,,Active,0.1,224.91
188,188,1,2024-07-06,,Active,0.05,94.9
189,189,1,2025-07-03,,Active,0.0,99.9
190,190,1,2025-07-01,,Active,0.0,99.9
191,191,1,2024-01-16,2025-08-23,Cancelled,0.0,99.9
192,192,2,2024-06-12,,Active,0.0,249.9
193,193,4,2024-06-15,,Active,0.0,1499.9
194,194,1,2024-01-05,,Active,0.0,99.9
195,195,4,2025-04-28,,Active,0.0,1499.9
196,196,2,2024-02-09,2024-12-17,Cancelled,0.15,212.42
197,197,2,2025-09-07,,Active,0.0,249.9
198,198,2,2025-03-04,,Active,0.1,224.91
199,199,1,2025-07-10,,Active,0.0,99.9
200,200,1,2024-12-29,2025-07-09,Cancelled,0.0,99.9
201,201,2,2025-12-10,,Active,0.2,199.92
202,202,1,2024-07-16,,Active,0.05,94.9
203,203,1,2025-02-11,,Active,0.0,99.9
204,204,1,2024-01-05,,Active,0.1,89.91
205,205,1,2025-08-31,,Active,0.05,94.9
206,206,4,2025-02-19,,Active,0.1,1349.91
207,207,1,2024-05-08,,Active,0.0,99.9
208,208,2,2025-08-20,,Active,0.0,249.9
209,209,1,2025-12-24,,Active,0.15,84.92
210,210,3,2024-02-20,2025-10-11,Cancelled,0.0,599.9
211,211,3,2025-09-10,,Active,0.0,599.9
212,212,4,2025-06-22,,Active,0.05,1424.9
213,213,3,2024-09-16,2025-08-08,Cancelled,0.05,569.9
214,214,1,2025-04-08,,Active,0.1,89.91
215,215,1,2025-07-28,,Active,0.0,99.9
216,216,2,2024-12-16,,Active,0.15,212.42
217,217,3,2025-05-02,,Active,0.0,599.9
218,218,1,2024-02-05,2025-07-23,Cancelled,0.0,99.9
219,219,1,2025-11-07,,Active,0.2,79.92
220,220,3,2025-11-06,,Active,0.05,569.9
221,221,2,2024-06-02,,Active,0.0,249.9
222,222,4,2024-12-15,,Active,0.2,1199.92
223,223,1,2024-06-23,2025-09-02,Cancelled,0.0,99.9
224,224,1,2024-10-19,,Active,0.0,99.9
225,225,3,2024-07-20,,Active,0.15,509.92
226,226,1,2025-09-21,,Active,0.1,89.91
227,227,2,2025-05-22,,Active,0.0,249.9
228,228,1,2025-09-10,,Active,0.2,79.92
229,229,2,2025-08-02,,Active,0.1,224.91
230,230,1,2025-06-15,,Active,0.2,79.92
231,231,1,2024-05-01,,Active,0.05,94.9
232,232,2,2025-08-29,,Active,0.0,249.9
233,233,1,2025-07-26,,Active,0.2,79.92
234,234,2,2024-03-31,,Active,0.1,224.91
235,235,2,2024-03-05,,Active,0.05,237.4
236,236,1,2025-07-10,,Active,0.0,99.9
237,237,2,2024-10-12,,Active,0.15,212.42
238,238,2,2024-08-27,,Active,0.05,237.4
239,239,2,2024-10-16,,Active,0.0,249.9
240,240,4,2025-09-26,,Active,0.0,1499.9
241,241,1,2024-09-22,2025-01-03,Cancelled,0.2,79.92
242,242,2,2024-09-27,,Active,0.05,237.4
243,243,1,2024-10-18,,Active,0.1,89.91
244,244,3,2024-02-09,,Active,0.05,569.9
245,245,1,2024-01-28,,Active,0.0,99.9
246,246,1,2024-10-29,,Active,0.1,89.91
247,247,2,2024-01-13,2025-08-15,Cancelled,0.0,249.9
248,248,3,2025-07-07,,Active,0.0,599.9
249,249,2,2024-11-06,,Active,0.15,212.42
250,250,1,2025-01-01,,Active,0.0,99.9
251,251,2,2024-09-02,,Active,0.0,249.9
252,252,2,2025-07-12,,Active,0.0,249.9
253,253,4,2024-11-08,,Active,0.2,1199.92
254,254,1,2024-01-26,2025-10-06,Cancelled,0.0,99.9
255,255,2,2024-12-22,,Active,0.05,237.4
256,256,4,2024-05-09,,Active,0.0,1499.9
257,257,4,2025-03-10,,Active,0.0,1499.9
258,258,2,2025-02-15,,Active,0.0,249.9
259,259,3,2024-12-12,,Active,0.2,479.92
260,260,4,2024-10-08,,Active,0.0,1499.9
261,261,2,2025-03-11,,Active,0.0,249.9
262,262,1,2025-05-12,,Active,0.0,99.9
263,263,2,2025-10-04,,Active,0.05,237.4
264,264,2,2025-12-04,,Active,0.0,249.9
265,265,4,2024-03-01,,Active,0.05,1424.9
266,266,2,2025-04-27,,Active,0.0,249.9
267,267,2,2024-03-02,2025-03-16,Cancelled,0.05,237.4
268,268,2,2024-11-01,,Active,0.0,249.9
269,269,2,2025-06-25,,Active,0.05,237.4
270,270,1,2025-01-31,,Active,0.0,99.9
271,271,1,2025-08-13,2025-10-07,Cancelled,0.15,84.92
272,272,2,2025-10-29,,Active,0.1,224.91
273,273,1,2025-12-12,,Active,0.0,99.9
274,274,4,2025-05-06,,Active,0.05,1424.9
275,275,2,2025-05-07,,Active,0.2,199.92
276,276,3,2025-08-10,,Active,0.0,599.9
277,277,1,2024-06-19,2025-12-13,Cancelled,0.0,99.9
278,278,3,2024-08-08,,Active,0.0,599.9
279,279,3,2024-09-06,,Active,0.0,599.9
280,280,3,2025-06-28,,Active,0.1,539.91
281,281,4,2024-09-13,,Active,0.15,1274.92
282,282,2,2024-04-11,,Active,0.0,249.9
283,283,1,2025-08-06,,Active,0.2,79.92
284,284,2,2025-07-02,,Active,0.0,249.9
285,285,3,2025-03-10,,Active,0.15,509.92
286,286,1,2025-10-06,,Active,0.0,99.9
287,287,2,2025-08-01,,Active,0.15,212.42
288,288,1,2025-10-20,,Active,0.15,84.92
289,289,2,2024-07-08,,Active,0.0,249.9
290,290,3,2024-03-26,,Active,0.0,599.9
291,291,2,2024-09-06,,Active,0.0,249.9
292,292,2,2025-08-29,,Active,0.0,249.9
293,293,3,2025-11-06,,Active,0.2,479.92
294,294,1,2024-03-21,,Active,0.1,89.91
295,295,1,2025-09-17,,Active,0.05,94.9
296,296,3,2024-12-15,,Active,0.05,569.9
297,297,1,2025-08-20,,Active,0.0,99.9
298,298,4,2025-05-13,,Active,0.1,1349.91
299,299,1,2024-02-13,,Active,0.0,99.9
300,300,4,2024-12-19,,Active,0.1,1349.91
301,301,2,2024-03-06,,Active,0.05,237.4
302,302,4,2024-09-05,,Active,0.1,1349.91
303,303,1,2025-07-07,2025-10-22,Cancelled,0.0,99.9
304,304,3,2025-05-14,,Active,0.05,569.9
305,305,2,2025-05-30,,Active,0.0,249.9
306,306,3,2025-04-28,2025-11-29,Cancelled,0.0,599.9
307,307,3,2024-01-11,,Active,0.1,539.91
308,308,1,2025-03-02,,Active,0.0,99.9
309,309,2,2024-12-20,,Active,0.0,249.9
310,310,2,2025-01-21,,Active,0.15,212.42
311,311,1,2024-06-04,,Active,0.0,99.9
312,312,1,2025-05-30,,Active,0.0,99.9
313,313,2,2025-03-20,,Active,0.0,249.9
314,314,2,2024-10-21,,Active,0.0,249.9
315,315,2,2024-02-11,,Active,0.0,249.9
316,316,2,2024-02-20,,Active,0.0,249.9
317,317,2,2024-09-19,,Active,0.0,249.9
318,318,3,2025-01-27,,Active,0.0,599.9
319,319,2,2025-12-29,,Active,0.0,249.9
320,320,2,2025-06-12,,Active,0.1,224.91
321,321,4,2024-12-20,,Active,0.0,1499.9
322,322,1,2024-08-06,,Active,0.0,99.9
323,323,1,2024-05-03,,Active,0.05,94.9
324,324,1,2024-04-12,,Active,0.0,99.9
325,325,1,2024-02-22,,Active,0.05,94.9
326,326,1,2025-10-28,,Active,0.0,99.9
327,327,3,2024-01-12,,Active,0.15,509.92
328,328,2,2025-09-23,,Active,0.0,249.9
329,329,2,2025-03-02,,Active,0.0,249.9
330,330,4,2025-03-28,,Active,0.0,1499.9
331,331,2,2025-12-01,,Active,0.0,249.9
332,332,1,2025-07-29,,Active,0.0,99.9
333,333,1,2024-04-17,,Active,0.05,94.9
334,334,1,2025-12-09,,Active,0.1,89.91
335,335,2,2024-05-08,2025-05-18,Cancelled,0.05,237.4
336,336,2,2025-02-20,2025-07-03,Cancelled,0.0,249.9
337,337,3,2025-04-13,,Active,0.0,599.9
338,338,1,2024-06-27,,Active,0.0,99.9
339,339,2,2025-04-05,,Active,0.15,212.42
340,340,1,2025-04-11,2025-05-28,Cancelled,0.0,99.9
341,341,2,2025-12-17,,Active,0.15,212.42
342,342,3,2025-10-30,,Active,0.2,479.92
343,343,1,2024-10-19,,Active,0.0,99.9
344,344,2,2025-05-19,,Active,0.15,212.42
345,345,2,2025-08-23,,Active,0.15,212.42
346,346,4,2024-01-20,,Active,0.05,1424.9
347,347,3,2025-05-15,,Active,0.15,509.92
348,348,4,2025-11-01,,Active,0.0,1499.9
349,349,1,2024-03-28,,Active,0.05,94.9
350,350,2,2025-07-04,,Active,0.0,249.9
351,351,3,2024-02-14,,Active,0.2,479.92
352,352,2,2024-10-20,2025-06-20,Cancelled,0.05,237.4
353,353,2,2025-08-22,,Active,0.0,249.9
354,354,3,2025-12-22,,Active,0.05,569.9
355,355,1,2025-06-16,,Active,0.1,89.91
356,356,2,2025-06-11,,Active,0.15,212.42
357,357,1,2024-07-08,,Active,0.0,99.9
358,358,2,2025-08-26,,Active,0.1,224.91
359,359,3,2025-04-26,,Active,0.05,569.9
360,360,2,2025-11-20,,Active,0.1,224.91
361,361,3,2025-03-16,,Active,0.05,569.9
362,362,2,2024-01-29,,Active,0.0,249.9
363,363,3,2025-01-08,,Active,0.0,599.9
364,364,1,2025-07-20,,Active,0.0,99.9
365,365,3,2025-07-29,,Active,0.05,569.9
366,366,3,2024-10-09,,Active,0.0,599.9
367,367,2,2024-05-05,,Active,0.15,212.42
368,368,3,2025-09-27,,Active,0.0,599.9
369,369,1,2025-08-24,,Active,0.0,99.9
370,370,3,2025-10-04,,Active,0.15,509.92
371,371,3,2025-05-05,,Active,0.0,599.9
372,372,1,2025-08-28,,Active,0.0,99.9
373,373,1,2024-10-21,2025-06-04,Cancelled,0.0,99.9
374,374,3,2025-07-23,,Active,0.05,569.9
375,375,1,2024-12-22,,Active,0.0,99.9
376,376,3,2025-08-03,,Active,0.15,509.92
377,377,1,2024-04-16,,Active,0.05,94.9
378,378,1,2024-08-04,2025-03-04,Cancelled,0.0,99.9
379,379,1,2024-06-05,,Active,0.05,94.9
380,380,4,2024-10-24,,Active,0.2,1199.92
381,381,2,2025-08-18,,Active,0.15,212.42
382,382,1,2024-03-25,,Active,0.0,99.9
383,383,1,2025-06-17,,Active,0.15,84.92
384,384,1,2025-08-30,,Active,0.0,99.9
385,385,2,2025-05-05,,Active,0.0,249.9
386,386,2,2025-04-17,,Active,0.0,249.9
387,387,1,2024-04-11,,Active,0.1,89.91
388,388,4,2025-03-23,,Active,0.0,1499.9
389,389,1,2024-06-14,,Active,0.05,94.9
390,390,3,2024-06-28,,Active,0.0,599.9
391,391,1,2025-09-21,,Active,0.0,99.9
392,392,3,2025-03-25,,Active,0.2,479.92
393,393,2,2025-12-27,,Active,0.0,249.9
394,394,2,2024-11-28,,Active,0.1,224.91
395,395,1,2024-09-18,2024-12-11,Cancelled,0.0,99.9
396,396,3,2025-12-28,,Active,0.0,599.9
397,397,1,2025-03-31,,Active,0.0,99.9
398,398,3,2025-09-22,,Active,0.1,539.91
399,399,3,2024-02-02,,Active,0.0,599.9
400,400,2,2025-01-19,,Active,0.05,237.4
401,401,3,2025-08-20,,Active,0.0,599.9
402,402,1,2025-08-13,,Active,0.0,99.9
403,403,4,2025-06-06,,Active,0.1,1349.91
404,404,1,2024-04-30,2024-12-20,Cancelled,0.05,94.9
405,405,1,2025-02-03,,Active,0.15,84.92
406,406,1,2024-03-15,,Active,0.1,89.91
407,407,4,2025-08-09,,Active,0.0,1499.9
408,408,1,2025-04-06,,Active,0.0,99.9
409,409,1,2024-05-21,2024-12-31,Cancelled,0.05,94.9
410,410,1,2025-06-15,,Active,0.0,99.9
411,411,1,2025-06-09,,Active,0.0,99.9
412,412,4,2024-02-08,,Active,0.05,1424.9
413,413,3,2024-03-06,2025-09-24,Cancelled,0.05,569.9
414,414,1,2024-05-26,,Active,0.0,99.9
415,415,1,2024-02-21,,Active,0.1,89.91
416,416,2,2025-01-27,,Active,0.0,249.9
417,417,4,2025-10-05,,Active,0.1,1349.91
418,418,1,2024-02-15,,Active,0.0,99.9
419,419,2,2025-03-25,,Active,0.1,224.91
420,420,3,2024-11-05,,Active,0.0,599.9
421,421,3,2025-09-03,,Active,0.0,599.9
422,422,1,2024-12-18,,Active,0.0,99.9
423,423,1,2025-05-03,,Active,0.15,84.92
424,424,2,2025-11-04,,Active,0.15,212.42
425,425,1,2024-04-09,,Active,0.0,99.9
426,426,3,2024-08-18,,Active,0.05,569.9
427,427,2,2024-07-16,,Active,0.15,212.42
428,428,2,2024-05-03,,Active,0.0,249.9
429,429,1,2025-04-18,,Active,0.0,99.9
430,430,1,2024-01-06,,Active,0.0,99.9
431,431,1,2024-10-09,,Active,0.0,99.9
432,432,2,2024-03-29,,Active,0.0,249.9
433,433,2,2025-03-25,,Active,0.15,212.42
434,434,2,2025-07-02,,Active,0.1,224.91
435,435,1,2024-12-07,,Active,0.05,94.9
436,436,1,2024-11-21,2025-04-21,Cancelled,0.05,94.9
437,437,2,2024-11-24,,Active,0.0,249.9
438,438,2,2024-05-25,,Active,0.1,224.91
439,439,2,2024-10-01,,Active,0.1,224.91
440,440,3,2025-11-13,,Active,0.0,599.9
441,441,3,2024-01-31,,Active,0.0,599.9
442,442,1,2025-07-29,,Active,0.0,99.9
443,443,2,2024-04-30,,Active,0.1,224.91
444,444,2,2024-03-24,,Active,0.1,224.91
445,445,1,2024-07-27,,Active,0.0,99.9
446,446,2,2024-07-15,,Active,0.0,249.9
447,447,1,2024-08-19,,Active,0.1,89.91
448,448,1,2025-09-12,,Active,0.0,99.9
449,449,4,2025-10-23,,Active,0.1,1349.91
450,450,2,2025-05-21,,Active,0.1,224.91
451,451,2,2024-04-16,,Active,0.2,199.92
452,452,2,2025-11-22,,Active,0.0,249.9
453,453,4,2025-09-11,,Active,0.05,1424.9
454,454,2,2024-02-25,,Active,0.1,224.91
455,455,3,2024-10-10,2025-11-24,Cancelled,0.0,599.9
456,456,3,2025-07-20,,Active,0.1,539.91
457,457,1,2024-03-06,2024-08-05,Cancelled,0.0,99.9
458,458,3,2024-02-25,,Active,0.05,569.9
459,459,2,2025-03-18,,Active,0.1,224.91
460,460,2,2024-09-03,,Active,0.15,212.42
461,461,2,2024-11-18,,Active,0.2,199.92
462,462,2,2025-07-02,,Active,0.2,199.92
463,463,2,2025-02-02,,Active,0.1,224.91
464,464,2,2025-06-03,,Active,0.05,237.4
465,465,2,2024-04-02,,Active,0.1,224.91
466,466,3,2024-01-02,,Active,0.1,539.91
467,467,2,2024-07-02,,Active,0.1,224.91
468,468,1,2024-05-27,,Active,0.0,99.9
469,469,1,2024-08-24,2024-11-15,Cancelled,0.1,89.91
470,470,2,2025-07-23,,Active,0.0,249.9
471,471,1,2024-04-21,2025-01-31,Cancelled,0.0,99.9
472,472,4,2024-04-02,,Active,0.1,1349.91
473,473,1,2024-05-26,,Active,0.05,94.9
474,474,2,2024-08-26,,Active,0.0,249.9
475,475,3,2024-05-24,2025-10-25,Cancelled,0.0,599.9
476,476,1,2024-05-14,2024-11-12,Cancelled,0.0,99.9
477,477,1,2025-02-27,,Active,0.05,94.9
478,478,3,2024-03-22,,Active,0.0,599.9
479,479,1,2024-04-22,,Active,0.1,89.91
480,480,4,2025-09-03,,Active,0.0,1499.9
481,481,4,2024-01-14,,Active,0.05,1424.9
482,482,2,2024-02-14,,Active,0.0,249.9
483,483,1,2024-02-20,,Active,0.0,99.9
484,484,2,2025-01-26,,Active,0.0,249.9
485,485,2,2025-05-22,,Active,0.05,237.4
486,486,2,2025-05-21,,Active,0.15,212.42
487,487,4,2025-05-19,,Active,0.1,1349.91
488,488,4,2024-02-12,,Active,0.1,1349.91
489,489,2,2024-09-08,2025-05-05,Cancelled,0.1,224.91
490,490,2,2025-04-08,,Active,0.0,249.9
491,491,3,2025-05-13,,Active,0.0,599.9
492,492,1,2024-09-01,2024-11-14,Cancelled,0.1,89.91
493,493,1,2025-09-10,,Active,0.05,94.9
494,494,3,2025-09-01,,Active,0.2,479.92
495,495,1,2025-07-13,,Active,0.0,99.9
496,496,1,2025-08-06,,Active,0.05,94.9
497,497,2,2025-12-13,,Active,0.0,249.9
498,498,2,2025-08-03,,Active,0.0,249.9
499,499,1,2025-03-03,,Active,0.0,99.9
500,500,4,2024-10-18,,Active,0.0,1499.9
501,501,4,2024-09-21,,Active,0.05,1424.9
502,502,2,2025-08-24,,Active,0.0,249.9
503,503,2,2024-08-04,,Active,0.0,249.9
504,504,4,2025-04-05,,Active,0.05,1424.9
505,505,1,2025-01-02,,Active,0.15,84.92
506,506,3,2024-10-03,,Active,0.0,599.9
507,507,2,2024-11-25,,Active,0.0,249.9
508,508,1,2024-02-28,,Active,0.0,99.9
509,509,3,2025-06-02,,Active,0.15,509.92
510,510,2,2024-02-18,,Active,0.0,249.9
511,511,3,2024-02-23,2025-11-14,Cancelled,0.05,569.9
512,512,1,2024-07-02,,Active,0.0,99.9
513,513,2,2025-01-23,,Active,0.1,224.91
514,514,2,2024-08-06,,Active,0.0,249.9
515,515,2,2025-10-05,,Active,0.2,199.92
516,516,2,2025-11-09,,Active,0.0,249.9
517,517,2,2024-10-14,,Active,0.1,224.91
518,518,1,2025-12-31,,Active,0.0,99.9
519,519,2,2024-03-06,,Active,0.0,249.9
520,520,3,2024-04-15,,Active,0.05,569.9
521,521,1,2024-09-10,,Active,0.0,99.9
522,522,1,2025-11-20,,Active,0.0,99.9
523,523,4,2025-01-03,,Active,0.0,1499.9
524,524,2,2025-05-31,,Active,0.0,249.9
525,525,3,2025-04-22,,Active,0.05,569.9
526,526,2,2024-12-30,,Active,0.0,249.9
527,527,2,2025-11-12,,Active,0.15,212.42
528,528,2,2025-11-28,,Active,0.0,249.9
529,529,1,2024-11-23,,Active,0.2,79.92
530,530,3,2025-06-05,,Active,0.0,599.9
531,531,2,2025-04-01,,Active,0.1,224.91
532,532,3,2025-03-09,,Active,0.05,569.9
533,533,2,2024-03-15,2024-11-28,Cancelled,0.0,249.9
534,534,2,2024-06-02,2025-06-16,Cancelled,0.0,249.9
